Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-10-28,313.84869384765625,314.3518474461919,310.95547944987885,313.82932247840694,26297900
2021-10-29,320.88336181640625,321.25106354157043,313.4133057841981,313.6358698624636,34766000
2021-11-01,318.70623779296875,320.7575954696081,315.80336647028275,320.63179965423285,27073200
2021-11-02,322.3444519042969,322.6540985408013,319.31578533683205,319.615746287968,26487100
2021-11-03,323.1863098144531,324.0571652224182,319.94476457358155,323.089541540339,21500100
2021-11-04,325.54730224609375,325.64407051672566,318.8416774576779,322.1122501101373,23992200
2021-11-05,325.17962646484375,327.8212498631309,323.59273891215867,327.55031640147575,22570100
2021-11-08,326.0794677734375,326.718102893488,323.61203940329,326.3794287273133,20897000
2021-11-09,325.0731506347656,327.7534572970053,323.6991121703383,326.19556799164343,21307400
2021-11-10,320.0898742675781,323.79588918284475,319.23839030651203,323.7378341293523,25500900
2021-11-11,321.6670227050781,322.9636344487284,319.8092024121994,320.5252342407546,16849800
2021-11-12,325.8182373046875,326.31173481669066,322.9831070912228,323.10890289071614,23831000
2021-11-15,325.1893005371094,326.9406970533868,323.2153399415336,326.61170854237946,16723000
2021-11-16,328.51788330078125,329.6403301704933,324.64738907261324,324.811868540775,20886800
2021-11-17,328.74090576171875,331.71695259761833,327.6551891582324,328.5664219326353,19053400
2021-11-18,330.82501220703125,331.968919377058,326.8020338448508,327.82958890843764,22463500
2021-11-19,332.6087341308594,334.53784815102716,331.72661169602117,332.1531473880695,21963400
2021-11-22,329.4291076660156,338.96796943364063,329.15767856424117,334.07251261265543,31031100
2021-11-23,327.3448791503906,329.0607250462627,323.3509815757989,326.73415634565987,30427600
2021-11-24,327.5679016113281,327.81025009025836,323.6903259484439,325.98778479533405,21661300
2021-11-26,319.58978271484375,327.5872826116313,318.07753055559016,324.1168653701531,24217200
2021-11-29,326.3270568847656,328.6535962110915,324.49488830576917,324.6887789094433,28563500
2021-11-30,320.4719543457031,327.44189947311935,318.9209180510821,325.0571985504791,42885600
2021-12-01,319.97747802734375,328.895912417737,319.3086235524365,324.872934246247,33337600
2021-12-02,319.4056091308594,323.2831850038461,317.767330957838,320.1908158784547,30766000
2021-12-03,313.12384033203125,322.51726680658993,308.2962494902916,321.8289760413608,41779300
2021-12-06,316.2065734863281,317.4280191700264,309.45960076174345,314.03514078957716,30032600
2021-12-07,324.6694030761719,325.52244481876284,319.996917592964,321.4897924137154,31021900
2021-12-08,324.7178649902344,325.2316425566837,320.6754795458663,325.04745535516855,24761000
2021-12-09,322.9051818847656,326.19141251311765,321.95516501298266,324.1750857940284,22214200
2021-12-10,332.05615234375,332.5020651973553,324.54335057908673,324.727537763227,38095700
2021-12-13,329.01226806640625,333.26792128473744,328.70205493313443,330.253091015941,28899400
2021-12-14,318.2908020019531,324.3980015605088,314.1902549947895,323.02144915200483,44438700
2021-12-15,324.40765380859375,324.93113478361175,314.5683119105372,318.55250653000735,35381100
2021-12-16,314.9560241699219,326.45304945434475,313.13355918243616,325.43516826441515,35034800
2021-12-17,313.8897399902344,314.97548603264545,307.54022163698255,311.05912630586664,47750300
2021-12-20,310.1188659667969,312.9203994951787,307.8504873529178,310.2545657555453,28326500
2021-12-21,317.2729187011719,317.6994543581608,310.01213871076055,313.39534333476564,24740600
